,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
529,sofiyivka,90,ua,2018-04-02 22:30:00,94,48.05,33.87,39.2,8.95
530,svetlogorsk,8,ru,2018-04-02 22:30:00,85,53.14,59.15,21.2,4.47
531,inirida,24,co,2018-04-02 23:00:38,95,3.87,-67.92,74.38,1.05
532,marfino,90,ru,2018-04-02 22:30:00,93,56.07,37.56,35.6,8.95
533,stornoway,92,gb,2018-04-02 22:20:00,80,58.21,-6.39,39.2,18.34
534,kununurra,0,au,2018-04-02 22:30:00,18,-15.77,128.74,98.6,16.11
535,ust-kulom,92,ru,2018-04-02 23:00:39,89,61.69,53.69,30.01,10.78
536,byron bay,40,au,2018-04-02 22:00:00,58,-28.65,153.62,82.4,17.22
537,rawson,0,ar,2018-04-02 23:00:40,35,-43.3,-65.11,63.22,7.43
538,guaymas,5,mx,2018-04-02 21:45:00,53,27.92,-110.9,75.2,3.18
539,balaguer,0,es,2018-04-02 23:00:40,84,41.79,0.81,37.93,2.39
540,ankazoabo,56,mg,2018-04-02 23:00:40,88,-22.29,44.51,68.44,3.62
541,conde,8,br,2018-04-02 23:00:40,100,-11.81,-37.61,74.92,4.18
542,kathmandu,20,np,2018-04-02 22:20:00,82,27.71,85.32,60.8,2.24
543,jacareacanga,20,br,2018-04-02 23:00:41,94,-6.22,-57.76,75.46,3.62
544,mangochi,88,mw,2018-04-02 23:00:41,100,-14.48,35.26,66.46,3.51
545,ankazobe,75,mg,2018-04-02 22:30:00,88,-18.32,47.12,62.6,5.82
546,chumikan,80,ru,2018-04-02 23:00:50,73,54.72,135.31,27.4,8.32
547,aparecida do taboado,48,br,2018-04-02 23:00:42,90,-20.08,-51.1,74.38,1.39
548,sungaipenuh,56,id,2018-04-02 23:00:50,85,-2.08,101.38,73.66,1.39
549,gunjur,5,gm,2018-04-02 22:00:00,82,13.18,-16.76,66.2,9.17
550,prince rupert,90,ca,2018-04-02 22:29:00,93,54.32,-130.32,35.6,9.17
551,bulgan,24,mn,2018-04-02 23:00:43,47,48.81,103.53,26.32,6.98
552,pangnirtung,20,ca,2018-04-02 23:00:43,74,66.15,-65.72,29.29,18.28
553,gamba,88,ga,2018-04-02 23:00:51,100,-2.72,10.02,76.54,1.61
554,husavik,90,is,2018-04-02 22:00:00,68,66.04,-17.34,24.8,10.29
555,wakkanai,75,jp,2018-04-02 22:00:00,80,45.41,141.67,41.0,16.11
556,yeniseysk,76,ru,2018-04-02 23:00:43,84,58.45,92.17,25.06,6.42
557,brae,68,gb,2018-04-02 22:20:00,80,60.4,-1.35,37.4,13.87
558,tepalcatepec,0,mx,2018-04-02 23:00:44,37,19.19,-102.85,76.99,3.4
559,siderno,0,it,2018-04-02 21:55:00,82,38.28,16.3,55.4,5.82
560,semnan,0,ir,2018-04-02 22:00:00,26,35.58,53.39,55.4,2.28
561,carbonia,0,it,2018-04-02 22:20:00,77,39.17,8.53,59.0,16.11
562,vardo,20,no,2018-04-02 22:20:00,86,70.37,31.11,28.4,18.34
563,chute-aux-outardes,1,ca,2018-04-02 22:00:00,78,49.12,-68.38,21.2,2.24
564,minab,0,ir,2018-04-02 22:30:00,88,27.15,57.07,69.8,3.85
565,livingston,90,us,2018-04-02 22:53:00,72,45.66,-110.56,17.6,13.87
566,mercedes,12,ar,2018-04-02 23:00:46,89,-29.18,-58.08,64.39,2.84
567,ambanja,0,mg,2018-04-02 23:00:46,95,-13.68,48.45,67.09,2.51
568,yagodnoye,88,ru,2018-04-02 23:00:46,80,62.52,149.63,24.07,3.96
569,khuchni,20,ru,2018-04-02 22:59:07,70,41.95,47.95,39.1,2.17
570,lourdes,0,fr,2018-04-02 22:30:00,93,43.09,-0.05,50.0,2.24
571,california city,1,us,2018-04-02 22:35:00,62,35.13,-117.99,77.0,14.99
572,sulina,0,ro,2018-04-02 23:00:55,95,45.16,29.65,39.37,2.62
573,mogadishu,88,so,2018-04-02 22:59:36,100,2.04,45.34,82.57,7.65
574,ust-tsilma,88,ru,2018-04-02 23:00:47,79,65.44,52.15,27.76,12.12
575,raudeberg,0,no,2018-04-02 22:20:00,100,61.99,5.14,32.0,9.17
576,goderich,92,ca,2018-04-02 22:56:58,67,43.74,-81.71,33.25,7.65
577,karachi,0,pk,2018-04-02 22:25:00,83,24.87,67.03,77.0,5.82
578,wajima,75,jp,2018-04-02 22:00:00,56,37.4,136.9,68.0,23.04
579,nanakuli,90,us,2018-04-02 22:25:00,100,21.39,-158.15,75.2,9.17
580,dauphin,1,ca,2018-04-02 22:00:00,55,51.15,-100.04,6.8,4.7
581,turayf,0,sa,2018-04-02 22:00:00,47,31.68,38.65,59.0,6.93
582,taoudenni,0,ml,2018-04-02 23:00:49,40,22.68,-3.98,71.77,9.22
583,yulara,0,au,2018-04-02 22:00:00,24,-25.24,130.99,82.4,10.29
584,kodinsk,12,ru,2018-04-02 23:00:58,68,58.6,99.18,25.69,3.51
585,gashua,0,ng,2018-04-02 23:00:50,27,12.87,11.04,69.07,6.98
586,manchar,0,in,2018-04-02 23:00:59,48,19.0,73.94,76.09,2.73
587,sao jose da coroa grande,92,br,2018-04-02 23:00:51,99,-8.9,-35.15,76.45,0.94
588,namibe,88,ao,2018-04-02 23:00:59,100,-15.19,12.15,78.16,2.95
589,tizimin,0,mx,2018-04-02 23:00:51,62,21.14,-88.15,77.26,8.43
590,caravelas,0,br,2018-04-02 23:00:51,100,-17.73,-39.27,80.86,16.04
591,rosetta,40,eg,2018-04-02 22:00:00,63,31.4,30.42,62.6,11.41
592,iralaya,0,hn,2018-04-02 23:01:00,91,15.0,-83.23,75.82,5.3
593,straumen,40,no,2018-04-02 21:50:00,92,63.87,11.3,24.8,6.93
594,brandon,90,us,2018-04-02 22:35:00,78,43.59,-96.57,33.8,13.87
595,ambon,36,id,2018-04-02 22:58:13,92,-3.7,128.18,84.64,5.19
596,barcelos,56,br,2018-04-02 23:00:53,94,-0.97,-62.93,75.64,3.74
597,ust-kut,44,ru,2018-04-02 23:00:53,53,56.78,105.75,25.6,5.64
598,urengoy,36,ru,2018-04-02 23:00:53,74,65.96,78.37,-2.66,15.48
599,ozernovskiy,80,ru,2018-04-02 23:00:53,88,51.5,156.52,30.91,14.81
600,vestmanna,88,fo,2018-04-02 22:20:00,79,62.16,-7.17,28.4,11.41
601,luena,8,ao,2018-04-02 23:00:53,91,-11.78,19.91,60.97,3.62
602,tombouctou,76,ml,2018-04-02 23:01:02,31,16.77,-3.01,74.38,4.29
603,kirakira,92,sb,2018-04-02 23:01:03,100,-10.46,161.92,81.67,10.45
604,lokosovo,12,ru,2018-04-02 23:00:55,88,61.13,74.84,2.47,10.0
605,mastic beach,1,us,2018-04-02 22:56:00,92,40.77,-72.85,37.4,5.3
606,angoche,12,mz,2018-04-02 23:00:55,100,-16.23,39.91,82.12,7.99
607,port moresby,40,pg,2018-04-02 22:00:00,63,-9.47,147.16,91.4,10.29
608,aksarka,0,ru,2018-04-02 23:00:56,67,66.56,67.8,-8.87,3.29
609,manoel urbano,32,br,2018-04-02 23:00:56,95,-8.84,-69.26,75.37,1.61
610,hervey bay,76,au,2018-04-02 23:00:56,89,-25.3,152.85,77.89,16.15
611,neiafu,44,to,2018-04-02 23:00:56,100,-18.65,-173.98,81.58,15.48
612,dingzhou,40,cn,2018-04-02 22:00:00,37,38.51,115.0,55.4,4.47
613,nyurba,0,ru,2018-04-02 23:01:06,51,63.29,118.35,13.99,4.41
614,bilma,24,ne,2018-04-02 23:01:06,33,18.69,12.92,60.34,2.84
615,skjervoy,76,no,2018-04-02 23:01:07,100,70.03,20.97,28.03,10.67
616,kapit,32,my,2018-04-02 23:00:59,84,2.02,112.94,81.76,1.72
617,saint-denis,40,re,2018-04-02 22:30:00,73,-20.87,55.47,77.0,8.05
618,pimentel,75,pe,2018-04-02 22:00:00,83,-6.84,-79.94,69.8,17.22
619,totness,92,sr,2018-04-02 23:01:08,100,5.88,-56.32,78.16,11.34
620,arauca,40,co,2018-04-02 22:00:00,93,5.11,-75.7,66.2,4.7
621,galle,36,lk,2018-04-02 23:00:10,93,6.04,80.22,82.93,6.08
622,cabras,20,it,2018-04-02 23:01:00,74,39.93,8.53,55.84,12.01
623,preeceville,8,ca,2018-04-02 23:01:09,73,51.95,-102.67,5.08,5.08
624,sopelana,20,es,2018-04-02 22:30:00,63,43.38,-2.98,62.6,8.05
625,nelson bay,75,au,2018-04-02 22:30:00,65,-32.72,152.14,77.0,17.22
626,maxixe,80,mz,2018-04-02 23:01:10,100,-23.86,35.35,75.64,4.63
627,mitsamiouli,20,km,2018-04-02 23:01:02,100,-11.38,43.28,80.77,4.74
628,balkhash,0,kz,2018-04-02 23:01:02,96,46.84,74.98,30.82,15.26
629,gasa,0,bt,2018-04-02 23:01:11,55,27.91,89.73,11.92,1.61
630,si bun ruang,8,th,2018-04-02 22:00:00,51,16.97,102.28,84.2,3.74
631,cairns,75,au,2018-04-02 22:00:00,58,-16.92,145.77,87.8,6.93
632,smidovich,48,ru,2018-04-02 23:01:03,34,48.6,133.81,36.22,16.71
633,yerbogachen,56,ru,2018-04-02 23:01:12,60,61.28,108.01,20.11,5.86
634,karatuzskoye,80,ru,2018-04-02 23:01:04,69,53.61,92.87,24.79,3.62
635,presidencia roque saenz pena,48,ar,2018-04-02 23:01:04,86,-26.79,-60.44,68.62,8.66
636,goulburn,68,au,2018-04-02 23:01:04,88,-34.75,149.72,65.11,4.85
637,beidao,68,cn,2018-04-02 23:01:04,63,34.57,105.89,57.28,8.21
